Limpopo,Tzaneen [Nkowankowa] Magistrate Court,,Nkowankowa,,Ritavi,Yes,Yes,,,015 303 015 303 2791,"Private Bag X1415, Letaba 1513A Hlanganani Street,",‐23.88309; 30.27695
"",,,,,,,,,,1721/2770,0870 Letaba 0870,
Eastern Cape,Periodical Cour,,Nobanda,,,No,No,,,See Alice,,
KwaZulu‐Natal,Magistrate Court,,Nongoma,,,Yes,Yes,,,035 831 0302/3 035 831 0334,"Private Bag X5040, Lot 96 Main Street, Nongoma",E 31.64644; S ‐27.89943
"",,,,,,,,,,,Nongoma 3950 3950,
Limpopo,Thabazimbi [Northam] Magistrate Court,,Northam,,,No,Yes,,,014 777 1543 014 772  2523,"Private Bag X535, 24 Dwars Street, C/o Brits Rd & ‐24.95815; 27.26432",
"",,,,,,,,,,,"Thabazimbi 0380 Venter Street, Northam",
Northern Cape,Pixley Ka Seme [Noupoort] Magistrate Court,,Noupoort,,,Yes,Yes,,,049 843 049 843 1079,"Private Bag X11, Noupoort, 54 Voortrekker Street,",‐31.18098; 24.95526
"",,,,,,,,,,1032/1310,"5950 Noupoort, 5950",
KwaZulu‐Natal,Magistrate Court,,Nqutu,,,Yes,Yes,,,034 271 1910 034 271 0704,"Private Bag X5502, Nqutu Lot 69 Babanango Road, Nqutu E 30.67807; S ‐28.21413",
"",,,,,,,,,,,3135 3135,
KwaZulu‐Natal,Branch Court,,Nsimbini,,,No,No,,,031 900 0070/1 031 900 0040,"Private Bag X1013, Nsimbini Reserve",E 30.85618; S ‐30.00026
"",,,,,,,,,,,Umbumbulu 4105,
KwaZulu‐Natal,Periodical Court,,Nsuze,,Insuzi,No,No,,,032 481 2001 032 481 2044,"Private Bag X9201, n/a",E 30.94316; S ‐29.37684
"",,,,,,,,,,,Mapumulo 4470,
Eastern Cape,Magistrate Court,,Ntabathemba,,Ntabethemba,Yes,Yes,,,045 846 9358 045 846 9357,"Private Bag x 001, 1 Main Street, Ntabathemba",E 26.45268; S ‐31.95138
"",,,,,,,,,,,Ntabathemba 5528 5528,
Mpumalanga,Dipaleseng [Balfour] Periodical Court,,Nthorwane,Greylingstad,,,,,,017 773 0050 017 773 0196,"P.O. Box Greylingstad SAPS, 101 Dreyer",
"",,,,,,,,,,,"19,Greylingstad,2415 Street, Greylingstad,2415",‐26.74201; 28.76544
KwaZulu‐Natal,Magistrate Court,,Ntuzuma,,,Yes,Yes Yes,,,031 509 1405 031 509 1132,"Private Bag X9, Verulam 5 Dalmany Road, Ntuzuma",
"",,,,,,,,,,,4340 4360,
Western Cape,Periodical Court,,Nuwerus,,,No,No,,,027 219 1002 027 219 1563,"Private Bag X2, c/o Madelief & R363, Nuwerus E 18.35721; S ‐31.14976",
"",,,,,,,,,,,Vanrhynsdorp 8170,
Western Cape,Branch Court,,Nyanga,,Philippi,No,No,,,021 372 0902 021 371 3774,"Private Bag X13, Westridge c/o New Eisleben & Govener",E 18.59344; S ‐34.00065
"",,,,,,,,,,,"7802 Mbeki Road, Philippi 7802",
Gauteng,Merafong [Oberholzer] Magistrate Court,,Oberholzer,,,Yes,Yes,,Yes,018 788 2341‐7 018 786 2269,"Private Bag X2004, cnr Oranje &  Van Zyl Smit",‐26.34875; 27.39068
"",,,,,,,,,,,"Oberholzer 2502 Street, Oberholzer 2499",
Free State,Magistrate Court,,Odendaalsrus,,,Yes,Yes,,,057 354 1294 057 354 1100,"Private Bag X2, Weeber Street, Odendaalsrus",E 26.68662; S ‐27.8732
"",,,,,,,,,,,Odendaalsrus 9480 9480,
Mpumalanga,Emalahleni [Witbank] Branch Court,,Ogies,,,No,No,,,013 656 2221/ 013 656 5023,"Private Bag X7210, nu 1 Main Road Ogies",‐26.05071; 29.05317
"",,,,,,,,,,690 2005,eMalahleni 1035,
Limpopo,Tubatse [Burgersfort] Periodical Court,,Ohrigstad,,,No,No,,,013 235 013 235 3411,"Private Bag X1085, 1 Main Street, Ohrigstad",‐24.75323; 30.55849
"",,,,,,,,,,2325/6/7,Mashishing 1120,
Northern Cape,John Taolo Gaetsewe [Olifantshoek] Periodical Court,,Olifantshoek,,,No,Yes (Sessions Only),,,053 331 053 331 0261,"Private Bag X10226, 5 Cox Street, Olifantshoek,",‐27.94338; 22.73748
"",,,,,,,,,,0018/0295,"Olifantshoek, 8450 8450",
North West,Matlosana [Orkney] Detached Court,,Orkney,,,No,Yes,,,018 473 2596 018 462 4275,"Private Bag X7, Orkney Patmore Road, Orkney 2620",‐25.83137; 25.61075
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,Postal Physical GPS [S;E]
Gauteng,Johannesburg Central [Soweto],Branch Court,Orlando,,,No,Yes (Sessions Only),,,011 935 1205 / 011 935 2961,"Private Bag X1, c/o Mooki and Rathebe Street, ‐26.2369; 27.92024"
"",,,,,,,,,,2961,Johannesburg 2000 Orlando East 1806
North West,Tswaing [Ottosdal],Detached Court,Ottosdal,,,No,Yes,,,018 571 0022 018 571 0077,"Private Bag X1001, Ottosdal 42 Voortrekker Street, ‐26.81162; 26.00131"
"",,,,,,,,,,,2610 Ottosdal 2610
Western Cape,,Magistrate Court,Oudtshoorn,,,Yes,Yes,,,044 203 6400/10 044 272 5842,"Private Bag X608, 120 St John Street, Oudtshoorn E 22.20395; S ‐33.59042"
"",,,,,,,,,,,Oudtshoorn 6620 6620
Western Cape,,Magistrate Court,Paarl,,,Yes,Yes Yes,,,021 872 3127 021 872 9116,"Private Bag X5003, Paarl c/o Market Street & Bergrivier E 18.96939; S ‐33.73793"
"",,,,,,,,,,,"7622 Boulevard, Paarl 7622"
Gauteng,Ekurhuleni Central [Palm Ridge,Magistrate Court,Palm Ridge,Alberton,,Yes,Yes Yes,,Yes,010 232 N/A as yet,"P/Bag x8002, Alberton Cnr K146 road and Palm Ridge ‐26.385538; 28.144237"
Northern Cape,Frances Baard [Haartswater],Branch Court,Pampierstad,,,No,No,,,053 996  2385/ 053 996 1987,"Private Bag x207, 335 Mangope Avenue, ‐27.77947; 24.69964"
"",,,,,,,,,,1796,"Pampierstad, 8566 Pampierstad 8566"
Western Cape,,Branch Court,Parow,,,No,No Yes,,,021 936 9400 021 939 5441,"Private Bag X10, Bellville Arnold Wilhelm Street, Parow E 18.59593; S ‐33.90439"
"",,,,,,,,,,,7535 7500
Free State,,Magistrate Court,Parys,,,Yes,Yes,,,056 811 2147 056 811 2147,"Private Bag X1, Parys 9585 11 Phillip Street, Parys 9585 E 27.45694; S ‐26.89879"
"",,,,,,,,,,Tel/Fax,
Eastern Cape,,Periodical Cour,Patensie,,,No,No,,,See Hankey,Aalwyn Street E 24.81525; S ‐33.75632
Eastern Cape,,Periodical Court,Paterson,,,No,No,,,See Alexandria,Griffiths Street E 25.96964; S ‐33.43974
Free State,,Periodical Court,Paul Roux,,,No,Yes (Sessions Only),,,058 471 0301 058 471 0752 or,"Private Bag X1, Paul Roux 47 Voortrekker Street, Paul E 27.95175; S ‐28.29848"
"",,,,,,,,,,0865072240 or,9800 Roux 9800
"",,,,,,,,,,0866291469,
KwaZulu‐Natal,,Magistrate Court,Paulpietersburg,,,Yes,Yes,,,034 995 1003 034 995 1053,"Private Bag X303, Paul 33 Kruger Street, Paul E 30.81754; S ‐27.42383"
"",,,,,,,,,,,Pietersburg 3180 Pietersburg 3180
Eastern Cape,,Magistrate Court,Pearston,,,Yes,Yes,,,042 246 1114 042 246 1132,"Private Bag x 1, Pearston 45 Voortrekker Street, E 25.13893; S ‐32.58199"
"",,,,,,,,,,,5860 Pearston 5860
Eastern Cape,,Magistrate Court,Peddie,,,Yes,Yes,,,040 673 3740 040 673 3047,"Private Bag x 004, Peddie Main Street, Peddie 5640 E 27.12086; S ‐33.19846"
"",,,,,,,,,,,5640
Mpumalanga,Dr Pixley Ka Isaka Seme [Volkrust],Periodical Court,Perdekop,,,No,No,,,017 735 2303 017 735 2295,"Private Bag X9007, 1 Durban Street, Perdekop ‐27.16822; 29.62184"
"",,,,,,,,,,,Volksrust 2470
Free State,,Periodical Court,Petrus Steyn,,,No,Yes,,,058 871 3135/6 058 871 3194,"Private Bag X4, Petrus Steyn 19 Reitz Street, Petrus Steyn E 28.13123; S ‐27.64724"
"",,,,,,,,,,,9640 9640
Free State,,Magistrate Court,Petrusburg,,,Yes,Yes,,,053 574 0122 / 053 574 0122,"Private Bag X01, Petrusburg 27 Boshoff Street, Petrusburg E 25.41424; S ‐29.11493"
"",,,,,,,,,,0316,9932 9932
Northern Cape,Pixley Ka Seme [Phillipstown],Periodical Court,Petrusville,,,No,No,,,053 665 0006 053 665 0066,"Private Bag X01, Burg Street, Petrusville ‐30.07728; 24.65855"
"",,,,,,,,,,,"Philipstown, 8795"
Limpopo,Ba‐Phalaborwa [Phalaborwa],Magistrate Court,Phalaborwa,,,Yes,Yes,,Yes,015 781 2731 015 781 1819,"Private Bag X01016, c/o Sealene Street & Palm ‐23.95197; 31.13567"
"",,,,,,,,,,,"Phalaborwa 1390 Road, Phalaborwa 1390"
Free State,,Magistrate Court,Philippolis,,,Yes,Yes,,,051 773 0002 051 773 0028,"Private Bag X1, Philippolis 65 Voortrekker Street, E 25.2725; S ‐30.26322"
"",,,,,,,,,,,9970 Philippolis 9970
Northern Cape,Pixley Ka Seme [Phillipstown],Magistrate Court,Philipstown,,,Yes,Yes,,,053 665 0006 053 665 0066,"Private Bag X01, 17 Du Plessis Street, ‐30.43572; 24.47349"
"",,,,,,,,,,,"Philipstown, 8795 Philipstown, 8795"
KwaZulu‐Natal,,Branch Court,Phoenix,,,No,No,,,031 5078566 031 5076566,"Private Bag X7, Verulam c/o Phoenix Highway & E 31.00731; S ‐29.70091"
"",,,,,,,,,,,"4340 Pegasus Drive, Phoenix 4068"
KwaZulu‐Natal,,Branch Court,Phungashe,,,No,No,,,039 835 0031 039 835 1096,"Private Bag X562, Highflats Luphepheni Location  ST Faiths E 30.15289; S ‐30.42555"
"",,,,,,,,,,,"3306 Road, Highflats 3306"
Free State,,Magistrate Court,Phuthaditjhaba,,Witsieshoek,Yes,Yes Yes,,,058 713 0071 058 713 6413,"Private Bag X801, c/o Moremoholo & Setai E 28.80829; S ‐28.53581"
"",,,,,,,,,,,"Witsieshoek 9870 Street, Setsing Complex,"
"",,,,,,,,,,,Witsieshoek 9870
Limpopo,Bela‐Bela [Bela‐Bela],Periodical Court,Pienaars River,,,No,No,,,014 736 2231 014 736,"Private Bag X1617, Bela‐ R101 Warmbad, Pienaarsrivier ‐25.20261; 28.29626"
"",,,,,,,,,,5210/0865075648,Bela 0480
North West,Kagisano Molopo [Ganyesa],Periodical Court,Piet Plessis,,,No,No,,,053 928 4209 053 927 2309,"Private Bag X06, Vryburg n/a ‐26.16245; 24.40736"
"",,,,,,,,,,,8600
KwaZulu‐Natal,,Magistrate Court,Pietermaritzburg,,,Yes,Yes Yes,,,033 355 5100/ 033 345 0324,"Private Bag X9011, c/o Church & Otto Street, E 30.37971; S ‐29.59972"
"",,,,,,,,,,5172,"Pietermaritzburg 3002 Pietermaritzburg, 3201"
Western Cape,,Magistrate Court,Piketberg,,,Yes,Yes,,,022 913 022 913 2155,"Private Bag X12, Piketberg 44 Voortrekker Street, E 18.75451; S ‐32.90652"
"",,,,,,,,,,1110/3179,7320 Piketberg 7320
Mpumalanga,Thaba Chweu [Graskop],Branch Court,Pilgrim’s Rest,,,No,No,,,013 767 1221 013 767 1221,"Private Bag X507, Sabie Court House Main Street,"
"",,,,,,,,,,‐24.90928; 30.75679Tel/Fax,1260 Pilgrims Rest
KwaZulu‐Natal,,Magistrate Court,Pinetown,,,Yes,Yes,,,031 710 7800 031 709 0339,"Private Bag X9004, 5 Chancery Lane, Pinetown E 30.86096; S ‐29.81865"
"",,,,,,,,,,,Pinetown 3600 3600
KwaZulu‐Natal,,Branch Court,Plessislaer,,Vulindlela,No,No,,,033 398 033 398 6923,"Private bag X 9076, Old Main Road E 30.33356; S ‐29.64589"
"",,,,,,,,,,1390/1116/1167,Pietermaritzburg 3200
Northern Cape,Namakwa [Pofadder],Detached Court,Pofadder,,,Yes,Yes,,,054 933 0021 054 933 0600,"Private Bag X1, Pofadder, Skool Street, Pofadder, 8890 ‐29.12479; 19.39461"
"",,,,,,,,,,,8890
KwaZulu‐Natal,,Branch Court,Point,,,No,No,,,See Durban See Durban,Private Bag X54308 Durban Inter‐Lia Point SAPS on 165
"",,,,,,,,,,,Prince Street Durban
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel,Fax Postal Physical,GPS [S;E]
Limpopo,Polokwane [Polokwane],Magistrate Court,Polokwane,Pietersburg,,Yes,Yes,,Yes,015 294 6000,"015 294 6074 Private Bag X9320, 34 Landdros Mare street,",‐23.91451; 29.4541
"",,,,,,,,,,,Polokwane 0700 Polokwane 0699,
KwaZulu‐Natal,,Periodical Court,Pomeroy,,,No,No,,,033 493 0001/,"033 493 0030 Private Bag X501, Tugela 7 Polinghome Str, Pomeroy",E 30.42193; S ‐28.55156
"",,,,,,,,,,0005,Ferry 3010,
KwaZulu‐Natal,,Magistrate Court,Pongola,,,Yes,Yes,,,034 413 1350 /,"034 413 2098 Private Bag X0001, Pongola Koppie Alleen Str,  Pongola",E 31.61894; S ‐27.384
"",,,,,,,,,,1364,3170 3170,
Eastern Cape,,Magistrate Court,Port Alfred,,,Yes,Yes,,,046 624 1144,"046 624 5730 Private Bag x 1, Port Alfred Pascoe Crescent , Port Alfred",E 26.89058; S ‐33.59167
"",,,,,,,,,,,5325 5325,
Eastern Cape,,Magistrate Court,Port Elizabeth,,New Lock,Yes,Yes Yes,,,041 502 5133/,"041 484 5638 Private Bag x 3904, North 584 Govan Mbeki Street, North E 25.60463; S ‐33.94436",
"",,,,,,,,,,5111,End PE 6056 End Port Elizabeth 6056,
Northern Cape,Namakwa [Port Nolloth],Periodical Court,Port Nolloth,,,No,Yes (Sessions Only),,,027 851 8313,"027 851 8017 Private Bag X101, Port Kuswag Street, Port Nolloth",‐29.25162; 16.86838
"",,,,,,,,,,,"Nolloth, 8280",
KwaZulu‐Natal,,Magistrate Court,Port Shepstone,,,Yes,Yes,,,039 682 0136,"039 682 5017 Private Bag X845, Port 5 Court House Road, Port",E 30.44789; S ‐30.7346
"",,,,,,,,,,,Shepstone 4240 Shepstone 4240,
Eastern Cape,,Magistrate Court,Port St Johns,,,Yes,Yes,,,047 564 1120/,"047 564 1106 Private Bag x 1006, Port St 52 Westgate Street, Port St",E 29.54936; S ‐31.62286
"",,,,,,,,,,1444,Johns 5540 Johns 5540,
Western Cape,,Branch Court,Porterville,,,No,No,,,022 931 2410/,"022 931 2120 Private Bag X1, Porterville 37 Voortrekker Street,",E 18.99315; S ‐33.01163
"",,,,,,,,,,2162,6810 Porterville 6810,
Northern Cape,ZF Mgcawu [Postmasburg],Magistrate Court,Postmasburg,,,Yes,Yes,,,053 313 1155,"053 313 2580 Private Bag X3032, 13 Jordaan Street,",‐28.33374; 23.06815
"",,,,,,,,,,,"Postmasburg, 8420 Postmasburg, 8420",
North West,Tlokwe  [Potchefstroom],Magistrate Court,Potchefstroom,,,Yes,Yes Yes,,Yes,018 294 1600,"018 294 0018/5075 Private Bag X923, Cnr Peter Mokaba &",‐25.646229; 27.213076
"",,,,,,,,,,,"Potchefstroom 2520 Wolmarans Street,",
"",,,,,,,,,,,Potchefstroom 2531,
Limpopo,Tubatse [Burgersfort],Magistrate Court,Praktiseer,,Ga‐Marotha,Yes,Yes,,,013 216 1091,"013 216 1730 Private Bag X1013, Police Station Street, Praktiseer ‐24.58074; 30.32332",
"",,,,,,,,,,,Burgersfort 1150 1150,
Gauteng,Tshwane Central [Pretoria],Magistrate Court,Pretoria,,,Yes,Yes Yes,,Yes,012 319 4000,"012 328 6546 Private Bag X61, Pretoria Cnr Schoeman (Francis Baard) ‐25.74825; 28.18449",
"",,,,,,,,,,,0001 & Schubart (Sophie De Bruyn),
Gauteng,Tshwane North [Pretoria North],Magistrate Court,Pretoria North,,,Yes,Yes Yes,,Yes,012 521 1002/ 4,"012 565 5804 / 546 Private Bag X1, Pretoria 335 Emily Hobhouse Street,",‐25.67076; 28.1737
"",,,,,,,,,,,3291 North 0116 Pretoria North 0182,
Northern Cape,Pixley Ka Seme [Prieska],Magistrate Court,Prieska,,,Yes,Yes,,,053 353 1105,"053 353 2092 Private Bag X1, Prieska, 1 Steward Street, Prieska,",‐29.66815; 22.74982
"",,,,,,,,,,,8940 8940,
Western Cape,,Magistrate Court,Prince Albert,,,Yes,Yes,,,023 541 1450/,"023 541 1955 Private Bag X70, Prince 26 Kerk Street, Prince Albert",E 22.03121; S ‐33.22747
"",,,,,,,,,,1831,Albert 6930 6930,
KwaZulu‐Natal,,Periodical Court,Qudeni,,Ekombe,No,No,,,035 833 0028,"035 833 0370 Private Bag X101, Nkandla Qudeni Main Road, Ekombe",E 30.89735; S ‐28.64475
"",,,,,,,,,,,3855,
Eastern Cape,,Magistrate Court,Queenstown,,,Yes,Yes,,,045 838 3801,"045 839 2665 Private Bag x 7076, 76 Robinson Road,",E 26.86999; S ‐31.89849
"",,,,,,,,,,,Queenstown 5320 Queenstown 5320,
Eastern Cape,,Magistrate Court,Qumbu,,,Yes,Yes,,,047 553 0008,"047 553 1061 Private Bag x 432, Qumbu 95 Main Street, Qumbu 5180",E 28.87128; S ‐31.16241
"",,,,,,,,,,,5180,
Limpopo,Molemole [Morebeng],Periodical Court,Ramokgopa,,,No,No,,,See Morebeng,See Morebeng See Morebeng Ramokgopa,‐23.47225; 29.80511
KwaZulu‐Natal,,Branch Court,Ramsgate,,,No,Yes (Sessions Only),,,039 314 4165,"039 314 9825 Private Bag X845, Port c/o Marine Drive & Alfred",E 30.35163; S ‐30.88216
"",,,,,,,,,,,"Shepstone, 4240 Road, Ramsgate",
Gauteng,Johannesburg North [Randburg],Magistrate Court,Randburg,,,Yes,Yes,,Yes,011 998 5300,"011 326 1023 Private Bag X3005, 18 Shepherd Avenue,",‐26.07748; 27.99628
"",,,,,,,,,,,"Randburg 2125 Kensington B, Randburg 2125",
Gauteng,Randfontein [Randfontein],Magistrate Court,Randfontein,,,Yes,Yes,,,011 412 1195,"011 412 1200/4576 Private Bag X13, Cnr Pollock & Sutherland",‐26.181562; 27.699757
"",,,,,,,,,,,"Randfontein 1760 Street, Randfontein 1760",
Limpopo,Modimolle [Modimolle],Periodical Court,Rankin’s Pass,,,No,No,,,014 717 5316,"014 717 5369 Private Bag X1011, Near Rankin’s Pass SAPS",‐24.52891; 27.9138
"",,,,,,,,,,,Modimolle 0510,
Western Cape,,Periodical Court,Rawsonville,,,No,No,,,023 342 2325,"023 347 5024 Private Bag X3045, 1 Brand Street, Rawsonville",E 19.30903; S ‐33.68484
"",,,,,,,,,,,Worcester 6849,
Free State,,Magistrate Court,Reddersburg,,,Yes,Yes,,,051 553 0032,"051 553 0484 Private Bag X09, 3 Norval Street, Reddersburg",E 26.17311; S ‐29.65197
"",,,,,,,,,,,Reddersburg 9904 9904,
Free State,,Magistrate Court,Reitz,,,Yes,Yes,,,058 863 2778,"058 863 2779 Private Bag X1, Reitz 9810 40 Church Street, Reitz 9810",E 28.43131; S ‐27.79924
North West,Greater Taung  [Taung],Periodical Cour,Reivilo,,,No,No,,,053 928 4209,"053 927 2309 Private Bag X06, Vryburg 15 General Keevy Street,",‐26.16245; 24.40736
KwaZulu‐Natal,,Branch Court,Richards Bay,,,No,Yes (Sessions Only),,,035 789 0183,"035 789 8532 Private Bag X280023, No 2 Pasetta Parade, Richard’s E 32.048; S ‐28.7383",
"",,,,,,,,,,,"Empangeni, 3880 Bay",
KwaZulu‐Natal,,Magistrate Court,Richmond [KZN],,,Yes,Yes,,,033 212,"033 212 2790 Private Bag X1006, 36 Chilley Street, Richmond",E 30.26988; S ‐29.87269
"",,,,,,,,,,2114/2115,Richmond 3780 3780,
Northern Cape,Pixley Ka Seme [Richmond],Magistrate Court,Richmond [NC],,,Yes,Yes,,,053 693 0012,"053 693 0205 Private Bag X01, Richmond, 288 Market Street, Richmond, ‐31.4145; 23.94448",
"",,,,,,,,,,,7090 7090,
Western Cape,,Periodical Court,Riebeeck West,,,No,No,,,022 482 1121/,"022 482 4307 Private Bag X01, c/o Hof & Sending Street,",E 18.8727; S ‐33.35098
"",,,,,,,,,,1166/ 1141,Malmesbury 7299 Riebeeck Wes,
Northern Cape,ZF Mgcawu [Upington],Periodical Court,Rietfontein,,,No,No,,,054 337 5300,"054 332 1495 Private Bag X5983, 64 Loubos Weg, Rietfontein",
"",,,,,,,,,,,"Upington, 8800",‐26.74292; 20.02937
Western Cape,,Magistrate Court,Riversdale,,,Yes,Yes,,,028 713 2428/,"028 713 3797 Private Bag X419, 13 Mitchell Street, Riversdale",E 21.25991; S ‐34.09167
"",,,,,,,,,,1236/ 4560/,Riversdale 6670 6670,
Western Cape,,Periodical Court,Rivier‐sonder‐end,,,No,No,,,028 212 1076,"028 214 1630 Private Bag X1, Caledon Main road, Riviersonderend",E 19.92012; S ‐34.15061
Region,MagDistrict,CourtType,Office,PreviouslyKnownAs,AlsoKnownAs,EQC,SCC SOC,,MDS,Tel Fax,,Postal Physical,GPS [S;E]
Western Cape,,Magistrate Court,Robertson,,,Yes,Yes,,,023 626 3023/ 023 626 4885,,"Private Bag X612, Robertson 54 Kerk Street, Robertson 6705 E 19.88272; S ‐33.8042",
"",,,,,,,,,,24,,6705,
Limpopo,Mookgopong [Mookgopong],Periodical Court,Roedtan,,,No,No,,,014 743 2217/8 014 743 0367,,"Private Bag X308, SAPS Roedtan, Main Street,",‐24.59619; 29.08159
"",,,,,,,,,,,,"Mookgophong 0560 Roedtan, 0580",
Gauteng,Johannesburg West [Roodepoort],Magistrate Court,Roodepoort,,,Yes,Yes,,,011 766 011 766 1056/ 086,,"Private Bag X1, Roodepoort 54 Meyer Street, Roodepoort",‐26.15784; 27.86615
"",,,,,,,,,,1006/1042/1043 507 5193,,1725 1724,
Limpopo,Thabazimbi [Thabazimbi],Periodical Court,Rooiberg,,,No,No,,,014 736 2231 014 736,,"Private Bag X1617, Bela‐ 43 Maroela Street, Rooiberg",‐24.77884; 27.73082
"",,,,,,,,,,5210/0865075648,,Bela 0480,
Limpopo,Elias Motsoaledi [Groblersdal],Periodical Court,Roossenekal,,,No,No,,,013 262 2033/34 013 262 3000,,"Private Bag X617, 010 Senekal Street",‐25.20155; 29.92623
"",,,,,,,,,,,,"Groblersdal 0470 Rossenekal, 1066",
Free State,,Periodical Court,Rosendal,,,No,No,,,051 933 2201 051 933 4479,,"Private Bag X032, Ficksburg cnr ‐ Kriek and Keyter Street",E 27.93019; S ‐28.50395
"",,,,,,,,,,,,9730,
Free State,,Magistrate Court,Rouxville,,,Yes,Yes,,,051 663 0291 051 663 0536,,"Private Bag X02, Rouxville 10 Murray Street, Rouxville",E 26.83474; S ‐30.41597
"",,,,,,,,,,,,9958 9958,
Limpopo,Bela‐Bela [Bela‐Bela],Branch Court,Rust de Winter,,,No,No,,,014 736 2231 014 736,,"Private Bag X1617, Bela‐ Perseel 180JR, Rust de Winter",‐25.20318; 28.60789
"",,,,,,,,,,5210/0865075648,,Bela 0480,
North West,Rustenburg  [Rustenburg],Magistrate Court,Rustenburg,,,Yes,Yes,,Yes,014 597 9400 / 014 592 0191,,"Private Bag X82065, 13 Nelson Mandela Drive,",‐26.71575; 27.09321
"",,,,,,,,,,078 244 9609,,Rustenburg 0300 Rustenburg 0300,
Mpumalanga,Thaba Chweu [Sabie],Magistrate Court,Sabie,,,Yes,Yes,,,013 764 1205 013 764 2795,,"Private Bag X507, Sabie c/o Main Street & 7th Avenue, ‐25.09909; 30.78008",
"",,,,,,,,,,,,1260 Sabie 1260,
North West,Tswaing[Delareyville],Periodical Court,Sannieshof,,,No,No,,,053 948 9300 053 948 0904,,"Private Bag X5001, 23 General Delarey Street,",‐27.57047; 24.18338
"",,,,,,,,,,,,Delareyville 2770 Delareyville 2770,
Limpopo,Malamulele [Malamulele],Branch Court,Saselamani,,,No,Yes (Sessions Only),,,015 851 015 851 1357,,"Private Bag X9180, Near SAPS Sasalamani",‐22.83127; 30.85721
"",,,,,,,,,,0022/3/4,,Malamulele 0982,
Free State,,Magistrate Court,Sasolburg,,,Yes,Yes,,,016 976 0640 016 970 2417 /976,,"Private Bag X2003, Cnr Bain & Fichard Street,",E 27.82955; S ‐26.81732
"",,,,,,,,,,0640,,Sasolburg 1947 Sasolburg 1947,
KwaZulu‐Natal,,Periodical Court,Sawoti,,,,,,,See Scottburgh,,"R612, Ixopo Main Road",E 30.49062; S ‐30.27388
Limpopo,Makhuduthamaga [Sekhukhune],Magistrate Court,Schoonoord,Sekhukhune,,Yes,Yes,,Yes,013 260 1001/02 013 260 1049,,"Private Bag X9207, Next to Police Station,",‐24.75125; 30.01526
"",,,,,,,,,,,,Sekhukhune 1124 Sekhukhune 1124,
North West,Mamusa  [Schweizer‐Reneke],Magistrate Court,Schweizer‐Reneke,,,Yes,Yes Yes,,,053 963 1203 053 963 1506,,"Private Bag X02, Schweizer‐ 1 Botha Street, Schweizer‐",‐25.66563; 27.23732
"",,,,,,,,,,,,Reneke 2780 Reneke 2780,
KwaZulu‐Natal,,Magistrate Court,Scottburgh,,,Yes,Yes Yes,,,039 978 9400 039 978 3258,,"Private Bag X5510, c/o Airth & Scott Street,",E 30.75625; S ‐30.28747
"",,,,,,,,,,,,Scottburgh 4180 Scottburgh 4180,
Gauteng,Emfuleni [Sebokeng],Detached Court,Sebokeng,,,No,Yes,,Yes,016 988 1320 016 988 0071,,"Private Bag X065, Plot 18 Moshoeshoe Street,",‐26.60995; 27.84698
"",,,,,,,,,,,,Vanderbijlpark 1900 Sebokeng 1983,
Mpumalanga,Govan Mbeki [Secunda],Branch Court,Secunda,,,No,Yes Yes,,,017 631 1187/ 017 632 2835/ 634,,"Private Bag X1010, Secunda Lourens Muller Str, Secunda",‐26.5046; 29.18619
"",,,,,,,,,,634 7621 8655,,2302,
Free State,,Magistrate Court,Selosesha,,Thaba 'Nchu,Yes,Yes,,,051 873 2242 051 873 3520,,"Private Bag X705, Thaba Opposite Selosesha Police",
"",,,,,,,,,,,,"Nchu 9780 Station, Thaba Nchu 9870",
Limpopo,Elias Motsoaledi [Moutse],Detached Court,Sempupuru,Moutse,Elandsdoorn,Yes,Yes,,,013 980 0061 013 980 0484,,"Private Bag X4565, 1 Court Street, Elandsdoorn,",‐25.28637; 29.21582
"",,,,,,,,,,,,"Dennilton 1030 Dennilton, 1030",
Free State,,Magistrate Court,Senekal,,,Yes,Yes,,,058 481 2129 058 481 3868,,"Private Bag X1, Senekal Landdros Avenue, Senekal",E 27.62293; S ‐28.32393
"",,,,,,,,,,,,9600 9600,
Limpopo,Blouberg [Blouberg],Magistrate Court,Senwabarwana,Bochum,,Yes,Yes,,,015 505 3151/ 015 505 3153,,"Private Bag X5001, Bochum Main Road, Next to Bochum",‐23.28766; 29.14064
"",,,,,,,,,,52,,"0790 Plaza, Bochum 0790",
Limpopo,Malamulele [Tiyani],Periodical Court,Senwamokgope,,,No,No,,,See Morebeng See Morebeng,,See Morebeng Opposite Greater Letaba,‐23.41238; 30.15034
"",,,,,,,,,,,,"Municipality Offices, near",
"",,,,,,,,,,,,SAPS Sekgosese,
Limpopo,Polokwane [Seshego],Magistrate Court,Seshego,,,Yes,Yes,,,015 223 5112 015 223 5101,,"Private Bag X4007, Seshego 4003 Nelson Mandela Drive,",‐23.85451; 29.38157
"",,,,,,,,,,,,"0742 Zone 7, Seshego 0742",
North West,Mafikeng [Mmabatho],Periodical Court,Setlagole,,,No,No,,,053 928 4209 053 927 2309,,"Private Bag X06, Vryburg Setlagole Ploice Station,",‐26.687483; 25.457776
