Region,Court Type,Office Name,Equality Court,Small Claims Court,Sexual Offence Court,Mediation Services,telephone,fax,adress,GPS
KwaZulu-Naal,Periodical Cour,Wasbank,No,No,No,No,034 393 1164/1190,034 393 2147,Rademeyer Road Wasbank,E 30.09996; S -28.3135
Limpopo,Periodical Cour,Waerpoor,No,No,No,No,015 516 0181/2/3,015 516 0044,R523 SAPS Waerpoor,-22.90068; 29.62667
Gaueng,Periodical Cour,Wedela,No,No,No,No,See Fochville,No,No,-26.456441; 27.38304
KwaZulu-Naal,Magisrae Cour,Weenen,Yes,Yes,No,No,036 354 1621,036 354 1090,Reief Sree Weenen 3325,E 30.08513; S -28.85384
Gaueng,Periodical Cour,Welbekend,No,No,No,No,013 932 2901-3,013 932 2880,R25 Plaas Onbekend Bapsfonein,-25.9647; 28.46958
Free Sae,Magisrae Cour,Welkom,Yes,Yes,Yes,No,057 916 2500 / 2515,057 916 2600,Cnr Heeren & Buien Sree Welkom 9460,E 26.73774; S -27.97683
Wesern Cape,Magisrae Cour,Wellingon,Yes,Yes,No,No,021 873 1145/ 8811/ 6648/ 8768,021 864 2730,30 Jan van Riebeeck Sree Wellingon 7655,E 19.00543; S -33.6403
KwaZulu-Naal,Branch Cour,Wembesi,No,No,No,No,See Escour,No,No,No
KwaZulu-Naal,Branch Cour,Wenworh,No,No,No,No,031 468 2061,031 451 6238,Auserville Drive Wenworh 4005,E 30.98109; S -29.94245
Free Sae,Magisrae Cour,Wepener,Yes,Yes,No,No,051 583 1806,051 583 1658,2 Minnaar Sree Wepener 9944,E 27.03717; S -29.73083
Free Sae,Magisrae Cour,Wesselsbron,Yes,Yes,No,No,057 899 1815,057 899 2653,Cnr Preorius & Presiden Seyn Sree Wesselsbron 9680,E 26.36398; S -27.85572
Gaueng,Magisrae Cour,Wesonaria,Yes,Yes,No,No,011 753 2251/2/4/5,011 753 3725,36 Pres Seyn Sree Wesonaria 1780,-26.3236; 27.65128
Mpumalanga,Magisrae Cour,Whie River,Yes,Yes,No,No,013 751 1147/8,013 750 0426,c/o Mgiyeni Khumalo & Peer Graham Sreexa0Whie River 1240,-25.32844; 31.01958
Easern Cape,Magisrae Cour,Whilesea,Yes,Yes,No,No,040 842 2246,040 842 3187,3 Shepsone Sree Whilesea 5360,E 26.82284; S -32.17442
Norhern Cape,Magisrae Cour,Willison,Yes,Yes,No,No,053 391 3006,053 391 3311,Kühn Sree Willison 8920,-31.34127; 20.91612
Easern Cape,Magisrae Cour,Willowmore,Yes,Yes,No,No,044 923 1009/ 2107,044 923 1742,36 Weymeyer Sree Willowmore 6445,E 23.4874; S -33.29536
Easern Cape,Magisrae Cour,Willowvale,Yes,Yes,No,No,047 499 1038,047 499 1022,c/o Main & Hill Sree  Willowvale 5040,E 28.50773; S -32.26664
Free Sae,Magisrae Cour,Winburg,Yes,Yes,No,No,051 881 0002,051 881 1535 / 0865071382,34 Leech Sree Winburg 9420,E 27.00912; S -28.51905
Norhern Cape,Periodical Cour,Windsoron,No,Yes (Sessions Only),No,No,053 531 0621/23,053 531 0812,n/a,-28.3267; 24.71093
KwaZulu-Naal,Periodical Cour,Wineron,No,No,No,No,036 352 3030/3032,036 352 1270,1 Presiden Sr Wineron,E 29.5401; S -28.81438
Norhern Cape,Periodical Cour,Widraai,No,No,No,No,054 337 5300,054 332 1495,R360 Widraai,-26.95578; 20.70595
Limpopo,Deached Cour,Wipoor,Yes,Yes,No,No,014 769 0063/ 0165/ 0167,014 769 0165 Tel/Fax,Wipoor Lephalale 0555,-23.32973; 28.00542
Norh Wes,Magisrae Cour,Wolmaranssad,Yes,Yes,No,No,018 596 1060,018 596 1121/1332,28 Pie Reief Sree Wolmaranssad 2630,-27.19892; 25.98232
Wesern Cape,Branch Cour,Wolseley,No,Yes (Sessions Only),No,No,023 231 1086,023 231 1086 Tel/Fax,29 Eeufees Sree  Wolseley 6830,E 19.20098; S -33.41388
Wesern Cape,Magisrae Cour,Worceser,Yes,Yes,No,No,023 342 2325,023 347 5024,57 Adderley & Waerloo Sree Worceser 6850,E 19.44355; S -33.6459
Wesern Cape,Magisrae Cour,Wynberg [WC,Yes,Yes,Yes,No,021 799 1800,021 762 7842,c/o Church & Cour  Road Wynberg 7800,E 18.46617; S -34.00409
Limpopo,Branch Cour,Zaaiplaas,No,No,No,No,013 262 2033/34,013 262 3000,New Sand no,-25.16611; 29.75124
Free Sae,Magisrae Cour,Zasron,Yes,Yes,No,No,051 673 1004,051 673 1027,20 Hoofd Sree Zasron 9950,E 27.08456; S -30.30335
Limpopo,Periodical Cour,Zebediela,No,Yes (Sessions Only),No,No,015 491 2158,015 491 8111,R518 Road Groohoek 0628,-24.29834; 29.24439
Norh Wes,Deached Cour,Zeerus,Yes,Yes,No,No,018 642 1055,018 642 2116/ 086 5075 032,27 Presiden Sree Zeerus 2865,-25.54581; 26.07926
